date,nav,daily_ret,regime,exposure,dd,n_positions,breaker,month
2021-08-30,0.9731711374501254,-0.00024690616130246327,bull,0.015625,-0.0958901143307761,10,0.5,2021-08
2021-08-31,0.9732476585177428,7.863063820187507e-05,bull,0.0078125,-0.0958190235934613,10,0.5,2021-08
2021-09-01,0.9732778452348609,3.1016480598869e-05,bull,0.00390625,-0.09579097908174883,10,0.5,2021-09
2021-09-02,0.9733839237207802,0.00010899095919884681,bull,0.001953125,-0.09569242847324258,10,0.5,2021-09
2021-09-03,0.9734683025525295,8.668607493209131e-05,bull,0.0009765625,-0.09561403759933564,10,0.5,2021-09
2021-09-06,0.9735494659092445,8.337544889970877e-05,bull,0.00048828125,-0.0955386340137418,10,0.5,2021-09
2021-09-07,0.9736291299871405,8.182848502871582e-05,bull,0.000244140625,-0.09546462331039607,10,0.5,2021-09
2021-09-08,0.9737076231826428,8.061919378214914e-05,bull,0.0001220703125,-0.09539170039757995,10,0.5,2021-09
2021-09-09,0.9737839515646758,7.838942636961661e-05,bull,6.103515625e-05,-0.09532078867188495,10,0.5,2021-09
2021-09-10,0.9738613370676452,7.946886251821818e-05,bull,3.0517578125e-05,-0.09524889484401675,10,0.5,2021-09
2021-09-13,0.9739387352907051,7.947560922068314e-05,bull,1.52587890625e-05,-0.09517698919874144,10,0.5,2021-09
2021-09-14,0.9740159090821694,7.923885627282382e-05,bull,7.62939453125e-06,-0.09510529205823615,10,0.5,2021-09
2021-09-15,0.9740932494220282,7.940356942595936e-05,bull,3.814697265625e-06,-0.09503344018847086,10,0.5,2021-09
2021-09-16,0.9741705163004342,7.9321849783561e-05,bull,1.9073486328125e-06,-0.09496165656695427,10,0.5,2021-09
2021-09-17,0.9742478297072015,7.936332035676513e-05,bull,9.5367431640625e-07,-0.09488982971896918,10,0.5,2021-09
2021-09-22,0.9780634025920242,0.003916429442772618,bull,1.0,-0.09134502959912753,10,0.5,2021-09
2021-09-23,0.982905884422412,0.004951091941028037,bull,0.5,-0.08684619529800071,10,0.5,2021-09
2021-09-24,0.979564287414895,-0.0033997120787212336,bull,0.25,-0.08995065531757632,10,0.5,2021-09
2021-09-27,0.9755017255765693,-0.004147315179330369,bull,0.125,-0.0937249167787173,10,0.5,2021-09
2021-09-28,0.9756907656786555,0.00019378756298404172,bull,0.0625,-0.0935492919389467,10,0.5,2021-09
2021-09-29,0.9747052058706189,-0.0010101149285256753,bull,0.03125,-0.0944649113311318,10,0.5,2021-09
2021-09-30,0.9752008407478691,0.0005084972094794027,bull,0.015625,-0.09400444926545812,10,0.5,2021-09
2021-10-08,0.9754784510690712,0.000284669895269166,bull,0.0078125,-0.09374653960691617,10,0.5,2021-10
2021-10-11,0.9754721518801459,-6.457537753169952e-06,bull,0.00390625,-0.09375239177285068,10,0.5,2021-10
2021-10-12,0.9755218110200515,5.09077986591908e-05,bull,0.001953125,-0.09370625670207562,10,0.5,2021-10
2021-10-13,0.9755984255370707,7.853695955702978e-05,bull,0.0009765625,-0.0936350791470114,10,0.5,2021-10
2021-10-14,0.9756719574910557,7.537112818187667e-05,bull,0.00048828125,-0.09356676540038233,10,0.5,2021-10
2021-10-15,0.975746745793732,7.665312311378716e-05,bull,0.000244140625,-0.09349728446205612,10,0.5,2021-10
2021-10-18,0.9758242641007849,7.94451094888067e-05,bull,0.0001220703125,-0.0934252672545683,10,0.5,2021-10
2021-10-19,0.9759014977547166,7.914709315282633e-05,bull,6.103515625e-05,-0.09335351449974563,10,0.5,2021-10
2021-10-20,0.9759788077173815,7.921902245538067e-05,bull,3.0517578125e-05,-0.0932816908514516,10,0.5,2021-10
2021-10-21,0.976056217450955,7.931497381029813e-05,bull,1.52587890625e-05,-0.09320977451250817,10,0.5,2021-10
2021-10-22,0.9761336502532121,7.933231802904783e-05,bull,7.62939453125e-06,-0.09313783674195418,10,0.5,2021-10
2021-10-25,0.9762111349500003,7.937918825784552e-05,bull,3.814697265625e-06,-0.09306585075957302,10,0.5,2021-10
2021-10-26,0.9762885966515206,7.934933207286269e-05,bull,1.9073486328125e-06,-0.09299388614059685,10,0.5,2021-10
2021-10-27,0.9763660671788907,7.935207646167425e-05,bull,9.5367431640625e-07,-0.09292191332209865,10,0.5,2021-10
2021-10-28,0.9719098872244419,-0.004564046318533422,bull,1.0,-0.09706185972422329,10,0.5,2021-10
2021-10-29,0.9730690678839962,0.001192683267030498,bull,0.5,-0.09598494051315262,10,0.5,2021-10
2021-11-01,0.9760410025341137,0.003054186746044974,bull,0.25,-0.09322390970024289,10,0.5,2021-11
2021-11-02,0.9749335831292245,-0.001134603364012368,bull,0.125,-0.094252740902703,10,0.5,2021-11
2021-11-03,0.9760666553937589,0.0011622045687435221,bull,0.0625,-0.09320007730005307,10,0.5,2021-11
2021-11-04,0.9765916918605935,0.0005379104633204939,bull,0.03125,-0.09271230013349455,10,0.5,2021-11
2021-11-05,0.9768710533903215,0.0002860576554731188,bull,0.015625,-0.09245276354123122,10,0.5,2021-11
2021-11-08,0.9770818776380676,0.0002158158408056107,bull,0.0078125,-0.09225690047132407,10,0.5,2021-11
2021-11-09,0.9772559265282003,0.00017813132565039233,bull,0.00390625,-0.09209520298965504,10,0.5,2021-11
2021-11-10,0.9773570071651293,0.000103433127582252,bull,0.001953125,-0.0920012955569534,10,0.5,2021-11
