date,nav,daily_ret,regime,exposure,dd,n_positions,month
2021-12-15,1.3265304905035191,-0.0002626336801894386,bull,1.0,-0.033213218621915626,10,2021-12
2021-12-16,1.3582554954426067,0.023915775148934185,bull,1.0,-0.010091763341515533,10,2021-12
2021-12-17,1.346896033926135,-0.008363273003191386,bull,1.0,-0.018370636172798306,10,2021-12
2021-12-20,1.3222410336797694,-0.018305050742853324,bull,1.0,-0.03633941148832998,10,2021-12
2021-12-21,1.3391842098944682,0.012813984578550163,bull,1.0,-0.02399107956818489,10,2021-12
2021-12-22,1.3608050106240057,0.016144754821475406,bull,1.0,-0.008233654844240271,10,2021-12
2021-12-23,1.3532668739371816,-0.005539468643907697,bull,1.0,-0.013727513415313515,10,2021-12
2021-12-24,1.3009114955343881,-0.03868814009351401,bull,1.0,-0.0518845615466803,10,2021-12
2021-12-27,1.331188704939256,0.023273842616349957,bull,1.0,-0.029818272049986123,10,2021-12
2021-12-28,1.3214950645109602,-0.007281943117702506,bull,1.0,-0.03688308020675242,10,2021-12
2021-12-29,1.3406925418736078,0.0145270897169424,bull,1.0,-0.02289179430501052,10,2021-12
2021-12-30,1.37256385176266,0.02377227357773797,bull,1.0,0.0,10,2021-12
2021-12-31,1.386178536242833,0.009919162931975103,bull,1.0,0.0,10,2021-12
2022-01-04,1.4433142548540467,0.04121815272517288,bull,1.0,0.0,10,2022-01
2022-01-05,1.4026920614970089,-0.02814507874527009,recover,1.0,-0.028145078745270023,10,2022-01
2022-01-06,1.4452591882803825,0.030346736786935453,recover,1.0,0.0,10,2022-01
2022-01-07,1.3904910267669155,-0.03789504467958572,recover,1.0,-0.03789504467958578,10,2022-01
2022-01-10,1.4084663657016738,0.012927331848054835,recover,1.0,-0.025457594649500873,10,2022-01
2022-01-11,1.4255347909962905,0.012118447206308204,recover,1.0,-0.013647653959952101,10,2022-01
2022-01-12,1.4320887165176255,0.004597520567529867,recover,1.0,-0.009112878762201576,10,2022-01
2022-01-13,1.4147142385964797,-0.01213226367944218,recover,1.0,-0.021134582593621946,10,2022-01
2022-01-14,1.4274329923434443,0.008990334160758052,recover,1.0,-0.01233425539272878,10,2022-01
2022-01-17,1.4493516903366828,0.015355325336325623,recover,1.0,0.0,10,2022-01
2022-01-18,1.3861901053291823,-0.04357919849862536,recover,1.0,-0.04357919849862534,10,2022-01
2022-01-19,1.3963323430448131,0.007316628272441929,recover,1.0,-0.03658142302200876,10,2022-01
2022-01-20,1.4095747585613403,0.009483713230942728,recover,1.0,-0.027444637516586698,10,2022-01
2022-01-21,1.3728979615217205,-0.02601976008498713,recover,1.0,-0.052750294717772844,10,2022-01
2022-01-24,1.3332673098345442,-0.02886642183025002,recover,1.0,-0.08009400428902957,10,2022-01
2022-01-25,1.2522453954708324,-0.06076944493131416,recover,1.0,-0.13599618103737324,10,2022-01
2022-01-26,1.2552144965795966,0.00237102178175541,recover,0.5,-0.13394760916309298,10,2022-01
2022-01-27,1.217723450610862,-0.029868238512936233,recover,0.5,-0.15981506853730837,10,2022-01
2022-01-28,1.2401513662721557,0.01841790568297168,recover,0.5,-0.1443406217133745,10,2022-01
2022-02-07,1.2390572903400676,-0.0008822116088755049,recover,0.5,-0.14509549435014216,10,2022-02
2022-02-08,1.2442987756000956,0.004230220265754863,recover,0.5,-0.1414790599850569,10,2022-02
2022-02-09,1.2621354291207705,0.01433470310382057,recover,0.5,-0.12917241720152972,10,2022-02
2022-02-10,1.261200198747748,-0.0007409905081850461,recover,0.5,-0.1298176921746491,10,2022-02
2022-02-11,1.2477596430571454,-0.010656956527558265,recover,0.5,-0.13909118720019417,10,2022-02
2022-02-14,1.2512411724559762,0.0027902243979463777,recover,0.5,-0.13668905842631315,10,2022-02
2022-02-15,1.2523650061054605,0.0008981750874440912,recover,0.5,-0.13591365404587374,10,2022-02
2022-02-16,1.256637966635703,0.003411913068004458,recover,0.5,-0.13296546655022878,10,2022-02
2022-02-17,1.2493863850740259,-0.005770621097093931,recover,0.5,-0.13796879432086298,10,2022-02
2022-02-18,1.2547433310872316,0.004287661589083425,recover,0.5,-0.13427269623168128,10,2022-02
2022-02-21,1.2797055611340198,0.019894291866973782,recover,0.5,-0.11704966457330614,10,2022-02
2022-02-22,1.274380421913935,-0.004161222223154187,recover,0.5,-0.12072381713102509,10,2022-02
2022-02-23,1.2871468126885082,0.010017723558087938,recover,0.5,-0.11191547139983297,10,2022-02
2022-02-24,1.2584566834166067,-0.022289710069650533,bear,0.5,-0.13171061805967288,10,2022-02
2022-02-25,1.2578452927097257,-0.0004858257856130363,bear,0.5,-0.1321324554307936,10,2022-02
2022-02-28,1.2526235900483043,-0.004151307550845445,bear,0.5,-0.13573524052169753,10,2022-02
2022-03-01,1.2584787481130646,0.0046743156613669404,bear,0.5,-0.13169539422090065,10,2022-03
2022-03-02,1.2578172433171935,-0.000525638432006048,bear,0.5,-0.13215180849238603,10,2022-03
2022-03-03,1.2579170700825362,7.936507936507937e-05,bear,0.0,-0.13208293165179016,0,2022-03
2022-03-04,1.258016904770638,7.936507936507937e-05,bear,0.0,-0.13201404934477837,0,2022-03
2022-03-07,1.2581167473821278,7.936507936507937e-05,bear,0.0,-0.13194516157091682,0,2022-03
2022-03-08,1.2582165979176343,7.936507936507937e-05,bear,0.0,-0.13187626832977165,0,2022-03
2022-03-09,1.2583164563777864,7.936507936507937e-05,bear,0.0,-0.13180736962090894,0,2022-03
2022-03-10,1.2584163227632132,7.936507936507937e-05,bear,0.0,-0.13173846544389475,0,2022-03
2022-03-11,1.2585161970745438,7.936507936507937e-05,bear,0.0,-0.13166955579829498,0,2022-03
2022-03-14,1.2586160793124068,7.936507936507937e-05,bear,0.0,-0.1316006406836758,0,2022-03
2022-03-15,1.2587159694774317,7.936507936507937e-05,bear,0.0,-0.131531720099603,0,2022-03
